3038,ㄅㄢ,頒
3265,ㄅㄢ,扳
10776,ㄅㄢ,瘢
11648,ㄅㄢ,虨
12287,ㄅㄢ,斒
13222,ㄅㄢ,攽
13465,ㄅㄢ,鳻
14060,ㄅㄢ,褩
464,ㄅㄢˋ,辦
612,ㄅㄢˋ,半
1346,ㄅㄢˋ,伴
2393,ㄅㄢˋ,扮
3358,ㄅㄢˋ,絆
3732,ㄅㄢˋ,瓣
4012,ㄅㄢˋ,拌
5310,ㄅㄢˋ,爿
10011,ㄅㄢˋ,怑
10536,ㄅㄢˋ,魬
11003,ㄅㄢˋ,靽
11770,ㄅㄢˋ,姅
14573,ㄅㄢˋ,湴
15340,ㄅㄢˋ,鉡
335,ㄅㄢˇ,版
527,ㄅㄢˇ,板
1711,ㄅㄢˇ,闆
3035,ㄅㄢˇ,阪
3266,ㄅㄢˇ,扳
4590,ㄅㄢˇ,鈑
6312,ㄅㄢˇ,舨
6458,ㄅㄢˇ,粄
8397,ㄅㄢˇ,昄
11881,ㄅㄢˇ,蝂
2052,ㄅㄣ,奔
5652,ㄅㄣ,賁
11830,ㄅㄣ,渀
12403,ㄅㄣ,泍
12647,ㄅㄣ,錛
1263,ㄅㄣˋ,笨
2053,ㄅㄣˋ,奔
8566,ㄅㄣˋ,坌
12404,ㄅㄣˋ,泍
13065,ㄅㄣˋ,軬
120,ㄅㄣˇ,本
4687,ㄅㄣˇ,苯
6127,ㄅㄣˇ,畚
542,ㄅㄤ,幫
1731,ㄅㄤ,邦
3302,ㄅㄤ,傍
5167,ㄅㄤ,梆
7889,ㄅㄤ,垹
11710,ㄅㄤ,鞤
14802,ㄅㄤ,縍
15074,ㄅㄤ,搒
629,ㄅㄤˋ,棒
3303,ㄅㄤˋ,傍
3446,ㄅㄤˋ,謗
3510,ㄅㄤˋ,徬
3582,ㄅㄤˋ,磅
4918,ㄅㄤˋ,蚌
5812,ㄅㄤˋ,鎊
6523,ㄅㄤˋ,棓
9861,ㄅㄤˋ,玤
13802,ㄅㄤˋ,塝
15076,ㄅㄤˋ,搒
15303,ㄅㄤˋ,艕
1710,ㄅㄤˇ,榜
2555,ㄅㄤˇ,膀
2982,ㄅㄤˇ,綁
7065,ㄅㄤˇ,蒡
7479,ㄅㄤˇ,牓
10916,ㄅㄤˇ,氆
15075,ㄅㄤˇ,搒
2984,ㄅㄥ,崩
3905,ㄅㄥ,繃
6301,ㄅㄥ,絣
8598,ㄅㄥ,痭
10270,ㄅㄥ,塴
10827,ㄅㄥ,弸
11010,ㄅㄥ,祊
12141,ㄅㄥ,傰
15072,ㄅㄥ,搒
